127.0.0.1 - - [19/Mar/2024:07:05:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:05:31 +0530] "GET /ManageUser/ HTTP/1.1" 500 4255
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:05:45 +0530] "GET /ManageUser/ HTTP/1.1" 500 4255
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:05:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:07:15 +0530] "GET /ManageUser/ HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:11:32 +0530] "GET /ManageUser/ HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:11:38 +0530] "GET /ManageUser/new HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:12:06 +0530] "POST /ManageUser/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:12:06 +0530] "GET /ManageUser/list HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:14:07 +0530] "GET /ManageUser/new HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:14:24 +0530] "POST /ManageUser/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:14:24 +0530] "GET /ManageUser/list HTTP/1.1" 200 1782
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:14:28 +0530] "GET /ManageUser/edit?id=2 HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:16:25 +0530] "GET /ManageUser/edit?id=2 HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:16:49 +0530] "POST /ManageUser/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:16:49 +0530] "GET /ManageUser/list HTTP/1.1" 200 1782
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:16:55 +0530] "GET /ManageUser/delete?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:07:16:55 +0530] "GET /ManageUser/list HTTP/1.1" 200 1531
