127.0.0.1 - - [09/Nov/2023:20:16:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:16:40 +0530] "GET /ServletExamples/ HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:16:51 +0530] "GET /ServletExamples/ HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:16:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:20:15 +0530] "POST /ServletExamples/add HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:26:47 +0530] "GET /ServletExamples/InitCounter HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:26:56 +0530] "GET /ServletExamples/InitCounter HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:27:01 +0530] "GET /ServletExamples/InitCounter HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:27:02 +0530] "GET /ServletExamples/InitCounter HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:27:03 +0530] "GET /ServletExamples/InitCounter HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:27:03 +0530] "GET /ServletExamples/InitCounter HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:27:04 +0530] "GET /ServletExamples/InitCounter HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:27:05 +0530] "GET /ServletExamples/InitCounter HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:47:58 +0530] "GET /ServletExamples/ReqDispatcher.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:52:34 +0530] "POST /ServletExamples/login HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [09/Nov/2023:20:52:48 +0530] "POST /ServletExamples/login HTTP/1.1" 200 16
